Name,Conference 
Toronto Raptors,east 	
Philadelphia 76ers,east	
Boston Celtics,east 	
Brooklyn Nets,east	
New York Knicks,east	
Milwaukee Bucks,east	
Indiana Pacers,east	
Detroit Pistons,east
Chicago Bulls,east
Cleveland Cavaliers,east
Orlando Magic,east 
Charlotte Hornets,east 
Miami Heat,east 
Washington Wizards,east 
Atlanta Hawks,east  
Denver Nuggets,west 
Portland Trail Blazers,west
Utah Jazz,west
Oklahoma City Thunder,west
Minnesota Timberwolves,west 
Golden State Warriors,west 
LA Clippers,west 
Sacramento Kings,west 
Los Angeles Lakers,west
Phoenix Suns,west 
Houston Rockets,west 	
San Antonio Spurs,west 	
Memphis Grizzlies,west 	
New Orleans Pelicans,west 	
Dallas Mavericks,west 
